year,UF,Codmun6,code_city,life_exp,year_edu,population,hdi
1991,35,350010,3500105,68.87,10.25,31841,0.592
1991,35,350020,3500204,70.04,9.16,3272,0.513
1991,35,350030,3500303,68.14,9.89,23331,0.491
1991,35,350040,3500402,71.48,10.48,6619,0.576
1991,35,350050,3500501,70.33,10.06,10870,0.558
1991,35,350055,3500550,69.51,10.21,3781,0.559
1991,35,350060,3500600,72.08,10.26,1614,0.634
1991,35,350070,3500709,68.07,9.49,29893,0.513
1991,35,350075,3500758,66.29,8.47,3255,0.418
1991,35,350080,3500808,68.93,11.09,3481,0.55
1991,35,350090,3500907,67.02,9.44,3222,0.509
1991,35,350100,3501004,70.05,9.36,13507,0.483
1991,35,350110,3501103,68.19,10.83,4750,0.48
1991,35,350115,3501152,65.13,7.99,13701,0.515
1991,35,350120,3501202,67.21,10.83,5044,0.478
1991,35,350130,3501301,70.1,10.53,18782,0.538
1991,35,350140,3501400,66.38,8.98,3102,0.421
1991,35,350150,3501509,65.79,10.11,2532,0.461
1991,35,350160,3501608,71.09,10.24,152470,0.609
1991,35,350170,3501707,71.96,9.78,20067,0.527
1991,35,350180,3501806,67.27,10.85,5571,0.489
1991,35,350190,3501905,68.34,10,49999,0.578
1991,35,350200,3502002,69.94,9.78,2998,0.493
1991,35,350210,3502101,69.1,10.06,51718,0.56
1991,35,350220,3502200,66.43,8.34,17172,0.435
1991,35,350230,3502309,68.95,9.28,3439,0.477
1991,35,350240,3502408,69.38,9.06,3228,0.513
1991,35,350250,3502507,68.19,10.02,32378,0.569
1991,35,350260,3502606,68.52,9.54,5071,0.468
1991,35,350270,3502705,65.63,9.49,26520,0.442
1991,35,350275,3502754,65.46,7.68,9783,0.426
1991,35,350280,3502804,68.02,9.91,148206,0.59
1991,35,350290,3502903,68.31,8.99,14314,0.494
1991,35,350300,3503000,70.58,9.77,4061,0.515
1991,35,350310,3503109,64.48,9.2,5606,0.397
1991,35,350315,3503158,65.14,8.33,2640,0.373
1991,35,350320,3503208,70.12,9.88,157804,0.607
1991,35,350330,3503307,70.03,9.67,86476,0.573
1991,35,350335,3503356,66.67,7.94,2770,0.408
1991,35,350340,3503406,69,9.85,6841,0.478
1991,35,350350,3503505,63.9,8.38,3241,0.418
1991,35,350360,3503604,68.02,8.52,9935,0.433
1991,35,350370,3503703,67.27,10.22,5828,0.48
1991,35,350380,3503802,67.54,9.7,19136,0.519
1991,35,350390,3503901,70.23,8.96,36956,0.524
1991,35,350395,3503950,66.95,9.99,2122,0.434
1991,35,350400,3504008,69.52,10.29,74847,0.597
1991,35,350410,3504107,70.1,9.59,85110,0.545
1991,35,350420,3504206,67.67,10.63,12502,0.557
1991,35,350430,3504305,66.38,9.51,4589,0.421
1991,35,350440,3504404,68.93,9.4,7701,0.463
1991,35,350450,3504503,70.82,9.87,59286,0.541
1991,35,350460,3504602,67.21,9.99,5653,0.525
1991,35,350470,3504701,68.19,9.4,1221,0.536
1991,35,350480,3504800,70.92,10.11,7172,0.525
1991,35,350490,3504909,66.34,8.58,8551,0.456
1991,35,350500,3505005,65.02,10.71,2692,0.464
1991,35,350510,3505104,66.64,8.6,5333,0.43
1991,35,350520,3505203,70.57,10.02,24125,0.572
1991,35,350530,3505302,70.7,10.1,30543,0.603
1991,35,350535,3505351,63.9,8.26,4969,0.325
1991,35,350540,3505401,63.63,8.22,6688,0.318
1991,35,350550,3505500,70.23,9.73,94334,0.558
1991,35,350560,3505609,68.11,9.03,18673,0.409
1991,35,350570,3505708,69.79,9.11,131747,0.549
1991,35,350580,3505807,67.88,9.91,19098,0.516
1991,35,350590,3505906,68.95,8.99,43425,0.519
1991,35,350600,3506003,68.02,9.92,256612,0.607
1991,35,350610,3506102,70.11,10.06,67016,0.548
1991,35,350620,3506201,67.02,9.41,2397,0.54
1991,35,350630,3506300,66.36,9.81,9925,0.511
1991,35,350635,3506359,67.98,8.66,10839,0.51
1991,35,350640,3506409,70.12,11,5342,0.574
1991,35,350650,3506508,69.24,10.28,74403,0.569
1991,35,350660,3506607,65.2,9.56,17758,0.489
1991,35,350670,3506706,65.05,9.04,10435,0.415
1991,35,350680,3506805,69.84,9.82,7211,0.544
1991,35,350690,3506904,67.49,8.75,5666,0.429
1991,35,350700,3507001,68.05,10.08,22901,0.539
1991,35,350710,3507100,66.29,9.19,9796,0.445
1991,35,350715,3507159,63.9,8.03,2269,0.305
1991,35,350720,3507209,70.58,6.82,716,0.506
1991,35,350730,3507308,69.08,8.73,3443,0.47
1991,35,350740,3507407,66.25,9.73,12070,0.493
1991,35,350745,3507456,68.02,6.97,1411,0.482
1991,35,350750,3507506,68.87,9.78,90060,0.588
1991,35,350760,3507605,69.48,9.6,99008,0.553
1991,35,350770,3507704,68.28,10.51,4223,0.524
1991,35,350775,3507753,66.3,9.12,1958,0.437
1991,35,350780,3507803,69.91,9.69,13711,0.546
1991,35,350790,3507902,67.65,9.22,14329,0.491
1991,35,350800,3508009,63.54,9.35,14173,0.379
1991,35,350810,3508108,68.65,10.16,12673,0.531
1991,35,350820,3508207,68.15,11.17,3726,0.522
1991,35,350830,3508306,65.33,9.09,3792,0.448
1991,35,350840,3508405,67.49,8.58,18693,0.478
1991,35,350850,3508504,68.64,9.76,65439,0.542
1991,35,350860,3508603,70.33,9.44,23004,0.553
1991,35,350870,3508702,68.6,9.02,17137,0.456
1991,35,350880,3508801,69.75,10.23,15117,0.504
1991,35,350890,3508900,67.93,9.78,3854,0.48
1991,35,350900,3509007,68.02,9.71,39008,0.545
1991,35,350910,3509106,64.09,8.79,3341,0.435
1991,35,350920,3509205,67.74,8.54,35850,0.501
1991,35,350925,3509254,67.67,9.42,23402,0.434
1991,35,350930,3509304,67.27,9.81,8706,0.505
1991,35,350940,3509403,68.02,9.52,18285,0.514
1991,35,350945,3509452,66.23,8.84,4065,0.364
1991,35,350950,3509502,69.74,9.85,833132,0.618
1991,35,350960,3509601,67.21,9.08,45230,0.507
1991,35,350970,3509700,69.12,9.73,35849,0.507
1991,35,350980,3509809,67.84,8.25,3988,0.411
1991,35,350990,3509908,68.59,9.15,9666,0.45
1991,35,350995,3509957,65.79,8.08,2792,0.406
1991,35,351000,3510005,68.19,9.46,25243,0.519
1991,35,351010,3510104,69.04,9.8,2322,0.485
1991,35,351015,3510153,67.14,7.24,2440,0.37
1991,35,351020,3510203,65.02,9.14,46243,0.428
1991,35,351030,3510302,67.88,9.82,10700,0.433
1991,35,351040,3510401,70.71,8.28,33767,0.565
1991,35,351050,3510500,67.49,9.65,51889,0.519
1991,35,351060,3510609,69.79,9.13,282227,0.519
1991,35,351070,3510708,66.95,10.02,12179,0.504
1991,35,351080,3510807,68.95,9.59,23906,0.56
1991,35,351090,3510906,71.17,10.43,2713,0.487
1991,35,351100,3511003,67.67,9.18,14551,0.502
1991,35,351110,3511102,71.16,10.28,90019,0.582
1991,35,351120,3511201,68.51,9.34,6260,0.472
1991,35,351130,3511300,70.98,9.71,5679,0.528
1991,35,351140,3511409,65.51,9.76,13088,0.494
1991,35,351150,3511508,70.08,9.7,20043,0.559
1991,35,351160,3511607,68.07,9.93,10188,0.485
1991,35,351170,3511706,68.15,9.7,10688,0.515
1991,35,351190,3511904,69.58,10.17,4836,0.526
1991,35,351200,3512001,70.05,9,15812,0.522
1991,35,351210,3512100,67.02,8.11,5245,0.466
1991,35,351220,3512209,67.71,9.19,19228,0.468
1991,35,351230,3512308,68.95,10.38,11826,0.538
1991,35,351240,3512407,70.57,10.19,13296,0.578
1991,35,351250,3512506,67.65,9.85,3843,0.479
1991,35,351260,3512605,65.07,9.81,5722,0.401
1991,35,351270,3512704,69.99,10.09,3124,0.48
1991,35,351280,3512803,69.51,9.21,35539,0.529
1991,35,351290,3512902,67.15,10.27,7827,0.494
1991,35,351300,3513009,70.25,9.2,105520,0.557
1991,35,351310,3513108,69.97,8.93,22488,0.521
1991,35,351320,3513207,67.76,8.36,5593,0.441
1991,35,351330,3513306,69.52,9.64,2691,0.518
1991,35,351340,3513405,67.18,9.92,68202,0.556
1991,35,351350,3513504,65.02,8.28,89653,0.517
1991,35,351360,3513603,66.85,8.39,23337,0.39
1991,35,351370,3513702,70.11,9.46,25727,0.544
1991,35,351380,3513801,68.12,9.03,302906,0.528
1991,35,351385,3513850,66.3,10.06,1831,0.468
1991,35,351390,3513900,68.67,10.28,11559,0.464
1991,35,351400,3514007,70.01,8.94,6697,0.471
1991,35,351410,3514106,68.17,9.58,18725,0.529
1991,35,351420,3514205,67.27,10.09,2090,0.504
1991,35,351430,3514304,67.18,10.3,7684,0.544
1991,35,351440,3514403,66.67,10.47,39406,0.574
1991,35,351450,3514502,68.02,9.07,11845,0.53
1991,35,351460,3514601,69.91,9.34,4966,0.558
1991,35,351470,3514700,69.66,9.54,6304,0.504
1991,35,351480,3514809,66.67,9.6,12769,0.45
1991,35,351490,3514908,67.59,8.93,11566,0.443
1991,35,351492,3514924,67.27,8.71,2481,0.473
1991,35,351495,3514957,68.28,9.23,2422,0.455
1991,35,351500,3515004,68.08,8.91,155406,0.487
1991,35,351510,3515103,66.73,8.7,35995,0.483
1991,35,351512,3515129,66.6,8.93,2817,0.449
1991,35,351515,3515152,67.65,9.39,6222,0.472
1991,35,351518,3515186,71.75,10.11,36405,0.561
1991,35,351519,3515194,66.3,8.29,2894,0.359
1991,35,351520,3515202,69.11,9.81,8404,0.516
1991,35,351530,3515301,68.11,9.77,2777,0.458
1991,35,351535,3515350,66.01,9.05,9404,0.41
1991,35,351540,3515400,66.16,9.97,14099,0.484
1991,35,351550,3515509,72.08,10.19,55863,0.594
1991,35,351560,3515608,69.66,9.92,5114,0.502
1991,35,351565,3515657,66.3,8.55,1554,0.333
1991,35,351570,3515707,66.67,9.15,95167,0.48
1991,35,351580,3515806,65.79,10.35,2380,0.501
1991,35,351590,3515905,67.3,10.46,3544,0.535
1991,35,351600,3516002,66.71,10.26,12287,0.493
1991,35,351610,3516101,67.77,9.32,3012,0.484
1991,35,351620,3516200,70.75,9.78,230672,0.568
1991,35,351630,3516309,65.02,8.59,83706,0.444
1991,35,351640,3516408,68.02,8.83,80409,0.494
1991,35,351650,3516507,68.23,10.15,2463,0.525
1991,35,351660,3516606,64.71,9.07,8781,0.434
1991,35,351670,3516705,68.21,10.14,40767,0.534
1991,35,351680,3516804,66.27,8.57,3820,0.463
1991,35,351685,3516853,67.21,7.56,3802,0.44
1991,35,351690,3516903,66.38,10.64,10212,0.555
1991,35,351700,3517000,66.38,9.95,10029,0.484
1991,35,351710,3517109,66.89,9.8,4220,0.473
1991,35,351720,3517208,68.77,8.99,7323,0.499
1991,35,351730,3517307,67.84,9.84,5138,0.512
1991,35,351740,3517406,68.24,9.92,30952,0.506
1991,35,351750,3517505,69.12,9.37,10579,0.472
1991,35,351760,3517604,64.48,8.68,18232,0.344
1991,35,351770,3517703,68.15,8.83,16196,0.482
1991,35,351780,3517802,68.27,9.59,8247,0.521
1991,35,351790,3517901,67.02,9.26,7756,0.459
1991,35,351800,3518008,67.77,11.26,1784,0.474
1991,35,351810,3518107,65.02,9.21,5507,0.429
1991,35,351820,3518206,70.01,10.13,26504,0.564
1991,35,351830,3518305,66.22,8.92,17643,0.501
1991,35,351840,3518404,69.05,10.1,91235,0.598
1991,35,351850,3518503,66.34,9.59,8407,0.404
1991,35,351860,3518602,68.03,8.43,28973,0.485
1991,35,351870,3518701,66.34,8.73,207323,0.497
1991,35,351880,3518800,68.02,9.23,778285,0.544
1991,35,351885,3518859,67.49,9.11,5805,0.519
1991,35,351890,3518909,66.25,9.57,5052,0.398
1991,35,351900,3519006,66.67,8.92,7018,0.462
1991,35,351905,3519055,69.51,8.57,5414,0.532
1991,35,351907,3519071,69.55,9.2,89078,0.493
1991,35,351910,3519105,69.95,9.6,7561,0.534
1991,35,351920,3519204,69.08,9.78,7025,0.499
1991,35,351925,3519253,65.33,7.94,2026,0.404
1991,35,351930,3519303,68.11,8.81,18754,0.442
1991,35,351940,3519402,70.86,9.82,8648,0.504
1991,35,351950,3519501,67.71,9.72,5505,0.484
1991,35,351960,3519600,70.01,10.14,37999,0.521
1991,35,351970,3519709,67.15,8.2,48787,0.408
1991,35,351980,3519808,66.11,9.84,6044,0.508
1991,35,351990,3519907,66.86,9.69,7125,0.484
1991,35,352000,3520004,68.57,9.28,20725,0.445
1991,35,352010,3520103,68.15,9.15,22213,0.496
1991,35,352020,3520202,70.34,9.13,6157,0.427
1991,35,352030,3520301,67.88,9.76,25332,0.473
1991,35,352040,3520400,66.23,9.69,13163,0.505
1991,35,352042,3520426,66.67,9.07,2550,0.451
1991,35,352044,3520442,71.3,10.4,21872,0.635
1991,35,352050,3520509,69.84,9.71,100151,0.541
1991,35,352060,3520608,68.05,10.17,4618,0.515
1991,35,352070,3520707,65.99,10.16,4725,0.541
1991,35,352080,3520806,68.75,10.24,3491,0.508
1991,35,352090,3520905,67.18,9.33,11322,0.452
1991,35,352100,3521002,66.99,9.36,10456,0.514
1991,35,352110,3521101,70.57,8.35,2698,0.505
1991,35,352115,3521150,69.66,10.2,2344,0.49
1991,35,352120,3521200,63.63,8.4,4433,0.356
1991,35,352130,3521309,66.34,9.36,10332,0.485
1991,35,352140,3521408,71.37,10.34,11884,0.562
1991,35,352150,3521507,68.7,9.96,6009,0.456
1991,35,352160,3521606,68.3,9.8,8177,0.507
1991,35,352170,3521705,66.66,9.78,17814,0.436
1991,35,352180,3521804,66.85,9.3,17575,0.442
1991,35,352190,3521903,68.78,10.33,13329,0.506
1991,35,352200,3522000,67.3,10.74,2611,0.522
1991,35,352210,3522109,65.52,9.4,45513,0.523
1991,35,352215,3522158,63.63,9.57,3382,0.364
1991,35,352220,3522208,66.73,8.89,84977,0.501
1991,35,352230,3522307,66.29,9.24,100747,0.532
1991,35,352240,3522406,64.48,9.29,72562,0.458
1991,35,352250,3522505,67.74,7.85,105179,0.45
1991,35,352260,3522604,68.02,9.74,55801,0.54
1991,35,352265,3522653,63.54,8.17,3331,0.313
1991,35,352270,3522703,68.31,10.29,32714,0.508
1991,35,352280,3522802,66.3,9.83,14533,0.435
1991,35,352290,3522901,66.68,9.74,8958,0.482
1991,35,352300,3523008,66.86,9.18,3754,0.465
1991,35,352310,3523107,65.2,8.72,163630,0.443
1991,35,352320,3523206,64.09,9.83,41498,0.449
1991,35,352330,3523305,65.73,8.74,11542,0.449
1991,35,352340,3523404,69.48,9.87,60838,0.554
1991,35,352350,3523503,67.36,8.46,13131,0.455
1991,35,352360,3523602,68.16,10.17,9537,0.512
1991,35,352370,3523701,68.65,8.14,5015,0.446
1991,35,352380,3523800,66.88,9.51,6701,0.455
1991,35,352390,3523909,68.21,10,105605,0.55
1991,35,352400,3524006,70.7,8.49,18066,0.452
1991,35,352410,3524105,69.08,9.95,33081,0.556
1991,35,352420,3524204,67.93,9.03,6267,0.473
1991,35,352430,3524303,68.03,9.87,58723,0.579
1991,35,352440,3524402,67.2,9.39,162639,0.547
1991,35,352450,3524501,67.65,9.65,3231,0.476
1991,35,352460,3524600,66.71,9.74,14692,0.477
1991,35,352470,3524709,69.51,9.72,22413,0.533
1991,35,352480,3524808,68.03,10.35,40940,0.567
1991,35,352490,3524907,72.08,9.21,3245,0.457
1991,35,352500,3525003,69.79,9.17,62510,0.484
1991,35,352510,3525102,69.88,9.9,24002,0.503
1991,35,352520,3525201,65.56,8.86,10771,0.446
1991,35,352530,3525300,71.37,10.05,93093,0.575
1991,35,352540,3525409,67.67,8.22,3249,0.363
1991,35,352550,3525508,66.27,9.79,8134,0.425
1991,35,352560,3525607,67.36,9.71,3032,0.438
1991,35,352570,3525706,70.75,10,23472,0.539
1991,35,352580,3525805,66.3,9.94,3797,0.481
1991,35,352585,3525854,70.53,8.47,1753,0.506
1991,35,352590,3525904,70.34,9.95,285044,0.602
1991,35,352600,3526001,66.89,10.45,17642,0.535
1991,35,352610,3526100,66.25,9.56,16819,0.463
1991,35,352620,3526209,67.21,7.57,19817,0.417
1991,35,352630,3526308,66.14,10.06,4598,0.428
1991,35,352640,3526407,65.51,10.28,18732,0.529
1991,35,352650,3526506,66.81,10.16,5380,0.502
1991,35,352660,3526605,65.63,9.31,4568,0.474
1991,35,352670,3526704,68.78,9.83,67789,0.514
1991,35,352680,3526803,69.65,9.82,44730,0.558
1991,35,352690,3526902,68.78,9.81,206447,0.561
1991,35,352700,3527009,69.66,8.67,4790,0.514
1991,35,352710,3527108,70.41,10.05,56691,0.598
1991,35,352720,3527207,68.34,9.94,69783,0.591
1991,35,352725,3527256,66.67,7.54,1696,0.481
1991,35,352730,3527306,71.16,9.07,16072,0.513
1991,35,352740,3527405,69.76,10.36,17655,0.548
1991,35,352750,3527504,68.49,9.87,2354,0.439
1991,35,352760,3527603,66.25,9.13,4788,0.481
1991,35,352770,3527702,67.67,9.1,4130,0.481
1991,35,352780,3527801,66.3,9.46,4072,0.433
1991,35,352790,3527900,67.04,9.54,2625,0.467
1991,35,352800,3528007,68.17,9.81,13382,0.522
1991,35,352810,3528106,70.52,9.95,7321,0.484
1991,35,352820,3528205,68.02,10,3950,0.47
1991,35,352830,3528304,65.79,10.4,3679,0.522
1991,35,352840,3528403,68.21,9.46,29189,0.525
1991,35,352850,3528502,68.02,9.17,39744,0.533
1991,35,352860,3528601,65.36,10.69,7203,0.484
1991,35,352870,3528700,64.49,8.91,3491,0.415
1991,35,352880,3528809,70.41,10.07,12421,0.515
1991,35,352885,3528858,70.53,7.91,1594,0.41
1991,35,352890,3528908,66.99,9.21,4314,0.488
1991,35,352900,3529005,68.72,10.05,159026,0.601
1991,35,352910,3529104,66.23,10.15,2084,0.486
1991,35,352920,3529203,66.88,9.82,19456,0.516
1991,35,352930,3529302,69.76,9.35,63063,0.517
1991,35,352940,3529401,68.12,9.32,293765,0.523
1991,35,352950,3529500,68.11,9.76,3472,0.487
1991,35,352960,3529609,66.29,9.85,3762,0.452
1991,35,352965,3529658,66.3,9.46,1716,0.428
1991,35,352970,3529708,67.85,9.27,17061,0.498
1991,35,352980,3529807,67.37,9.22,9364,0.492
1991,35,352990,3529906,65.79,8.89,18813,0.452
1991,35,353000,3530003,66.2,9.64,2621,0.425
1991,35,353010,3530102,70.43,10.19,23969,0.545
1991,35,353020,3530201,67.15,9.91,14670,0.496
1991,35,353030,3530300,68.95,9.97,38849,0.542
1991,35,353040,3530409,68.97,8.85,3003,0.458
1991,35,353050,3530508,67.94,9.92,57750,0.538
1991,35,353060,3530607,66.82,9.66,261094,0.566
1991,35,353070,3530706,69.37,9.83,100509,0.563
1991,35,353080,3530805,70.3,9.98,64300,0.574
1991,35,353090,3530904,68.55,10.3,2597,0.526
1991,35,353100,3531001,66.3,7.86,2106,0.428
1991,35,353110,3531100,65.8,9.21,18150,0.516
1991,35,353120,3531209,69.66,10.81,5401,0.504
1991,35,353130,3531308,71.44,10.19,39424,0.574
1991,35,353140,3531407,70.52,10.29,17659,0.557
1991,35,353150,3531506,66.66,9.95,17547,0.494
1991,35,353160,3531605,66.95,10.61,4718,0.461
1991,35,353170,3531704,67.21,9.83,3322,0.466
1991,35,353180,3531803,69.46,8.88,25447,0.46
1991,35,353190,3531902,68.12,9.07,20922,0.483
1991,35,353200,3532009,68.75,9.61,8169,0.513
1991,35,353205,3532058,70.01,9.38,3334,0.496
1991,35,353210,3532108,69.66,10.92,3785,0.566
1991,35,353215,3532157,65.79,8.83,2824,0.4
1991,35,353220,3532207,67.93,8.96,3123,0.432
1991,35,353230,3532306,66.14,8.35,6391,0.353
1991,35,353240,3532405,67.84,8.6,11552,0.407
1991,35,353250,3532504,68.27,10.15,7833,0.516
1991,35,353260,3532603,68.93,10.58,10202,0.55
1991,35,353270,3532702,68.15,9.29,2768,0.439
1991,35,353280,3532801,67.76,10.57,4184,0.564
1991,35,353282,3532827,63.38,6.21,5023,0.234
1991,35,353284,3532843,66.6,10.59,2713,0.367
1991,35,353286,3532868,67.27,8.5,1072,0.435
1991,35,353290,3532900,69.94,9.93,5371,0.545
1991,35,353300,3533007,68.85,9.67,14790,0.508
1991,35,353310,3533106,70.54,10.88,2133,0.493
1991,35,353320,3533205,68.05,10.21,1997,0.434
1991,35,353325,3533254,67.36,8.37,3204,0.38
1991,35,353330,3533304,66.27,9.51,2621,0.493
1991,35,353340,3533403,69.67,10.18,33926,0.577
1991,35,353350,3533502,72.11,9.54,30139,0.546
1991,35,353360,3533601,68.24,9.17,5757,0.501
1991,35,353370,3533700,68.72,9.68,4226,0.504
1991,35,353380,3533809,68.46,10.18,2801,0.511
1991,35,353390,3533908,70.75,10.01,42596,0.539
1991,35,353400,3534005,68.86,9.62,2829,0.47
1991,35,353410,3534104,70.17,9.81,6602,0.526
1991,35,353420,3534203,66.11,9.99,2982,0.535
1991,35,353430,3534302,71.03,9.85,30903,0.578
1991,35,353440,3534401,69.79,9.48,557907,0.572
1991,35,353450,3534500,68.72,9.15,2496,0.496
1991,35,353460,3534609,69.52,10.37,28699,0.581
1991,35,353470,3534708,70.68,10,76280,0.57
1991,35,353475,3534757,67.15,9.94,4891,0.499
1991,35,353480,3534807,66.3,8.95,7090,0.407
1991,35,353490,3534906,68.87,9.78,12298,0.517
1991,35,353500,3535002,69.88,9.82,8973,0.517
1991,35,353510,3535101,68.67,8,7217,0.433
1991,35,353520,3535200,66.6,9.87,10876,0.48
1991,35,353530,3535309,66.12,9.66,18490,0.501
1991,35,353540,3535408,66.67,9.53,12256,0.469
1991,35,353550,3535507,67.37,9.71,33867,0.539
1991,35,353560,3535606,66.12,8.82,14596,0.418
1991,35,353570,3535705,69.2,10.71,4706,0.513
1991,35,353580,3535804,65.14,9.09,12728,0.45
1991,35,353590,3535903,69.49,9.64,4056,0.493
1991,35,353600,3536000,68.37,9.98,11342,0.492
1991,35,353610,3536109,67.59,9.3,3415,0.4
1991,35,353620,3536208,67.15,10.12,13110,0.49
1991,35,353625,3536257,65.51,9.23,1605,0.459
1991,35,353630,3536307,68.46,8.76,9686,0.481
1991,35,353640,3536406,65.24,9.35,4120,0.422
1991,35,353650,3536505,70.92,9.64,37102,0.597
1991,35,353657,3536570,68.49,3.95,1554,0.451
1991,35,353660,3536604,65.99,9.87,8232,0.505
1991,35,353670,3536703,67.16,9.38,31822,0.525
1991,35,353680,3536802,64.56,9.05,5139,0.377
1991,35,353690,3536901,71.22,9.59,3105,0.526
1991,35,353700,3537008,67.65,9.2,13747,0.508
1991,35,353710,3537107,70.42,9.43,27681,0.551
1991,35,353715,3537156,69.94,10.95,2536,0.594
1991,35,353720,3537206,66.23,9.42,7763,0.465
1991,35,353730,3537305,67.53,9.88,48233,0.539
1991,35,353740,3537404,69.55,9.87,25102,0.545
1991,35,353750,3537503,68.05,9.61,4431,0.527
1991,35,353760,3537602,65.52,9.09,31952,0.493
1991,35,353770,3537701,68.23,10.33,4491,0.493
1991,35,353780,3537800,65.59,8.96,42834,0.448
1991,35,353790,3537909,65.59,8.56,18847,0.438
1991,35,353800,3538006,67.49,9.83,101108,0.549
1991,35,353810,3538105,70.04,10.41,12284,0.523
1991,35,353820,3538204,68.75,10.04,8416,0.445
1991,35,353830,3538303,68.2,9.39,3255,0.453
1991,35,353850,3538501,67.54,10.07,14709,0.563
1991,35,353860,3538600,69.04,9.91,18696,0.461
1991,35,353870,3538709,70.03,9.98,276559,0.58
1991,35,353880,3538808,65.02,9.95,25656,0.515
1991,35,353890,3538907,69.86,9.23,17986,0.534
1991,35,353900,3539004,69.65,9.76,9838,0.541
1991,35,353910,3539103,67.74,7.58,7913,0.423
1991,35,353920,3539202,68.12,9.58,20850,0.52
1991,35,353930,3539301,69.49,9.87,55791,0.602
1991,35,353940,3539400,69.37,10.13,9560,0.567
1991,35,353950,3539509,68.03,9.03,26637,0.498
1991,35,353960,3539608,68.7,9.74,3497,0.479
1991,35,353970,3539707,65.79,9.34,2822,0.421
1991,35,353980,3539806,69.75,9.81,75985,0.534
1991,35,353990,3539905,70.52,10.69,4523,0.571
1991,35,354000,3540002,69.53,9.52,17050,0.55
1991,35,354010,3540101,68.49,9.81,3541,0.512
1991,35,354020,3540200,68.65,8.84,22709,0.49
1991,35,354025,3540259,66.34,9.12,3148,0.426
1991,35,354030,3540309,65.51,9.03,2956,0.481
1991,35,354040,3540408,69.43,9.82,4654,0.497
1991,35,354050,3540507,67.21,9.98,5559,0.484
1991,35,354060,3540606,70.04,9.71,36530,0.512
1991,35,354070,3540705,68.14,10.04,38005,0.567
1991,35,354075,3540754,66.01,9.09,10001,0.461
1991,35,354080,3540804,69.9,10.76,11166,0.523
1991,35,354085,3540853,65.79,8.38,1495,0.317
1991,35,354090,3540903,68.11,9.47,9861,0.558
1991,35,354100,3541000,66.25,9.35,122591,0.538
1991,35,354105,3541059,64.49,9.6,2783,0.458
1991,35,354110,3541109,66.2,8.71,4445,0.498
1991,35,354120,3541208,69.58,10.61,12875,0.568
1991,35,354130,3541307,66.86,9.87,34382,0.531
1991,35,354140,3541406,70.98,10.56,163167,0.623
1991,35,354150,3541505,69.08,9.66,35153,0.542
1991,35,354160,3541604,70.01,9.36,26530,0.521
1991,35,354165,3541653,68.07,6.96,1801,0.394
1991,35,354170,3541703,68.11,9.05,11253,0.474
1991,35,354180,3541802,67.15,9.81,1936,0.48
1991,35,354190,3541901,66.3,8.48,7621,0.448
1991,35,354200,3542008,65.08,9.4,5170,0.477
1991,35,354210,3542107,67.65,9.84,7976,0.516
1991,35,354220,3542206,70.41,9.56,26600,0.557
1991,35,354230,3542305,66.14,9.66,3999,0.402
1991,35,354240,3542404,68.92,9.53,14913,0.532
1991,35,354250,3542503,65.02,9.65,4728,0.488
1991,35,354260,3542602,66.71,9.78,48397,0.509
1991,35,354270,3542701,66.3,9.31,4396,0.439
1991,35,354280,3542800,63.38,8.47,3955,0.416
1991,35,354290,3542909,67.27,9.91,10259,0.485
1991,35,354300,3543006,63.54,6.73,19202,0.306
1991,35,354310,3543105,67.67,9.19,3229,0.441
1991,35,354320,3543204,66.54,9.86,4679,0.484
1991,35,354323,3543238,67.67,9.45,2172,0.478
1991,35,354325,3543253,63.63,6.74,6171,0.296
